"id","odd","trialtype","rt","incongruent"
1001,1,"congruent",852.055208333333,0
1001,1,"incongruent",1099.52083333333,1
1002,0,"congruent",760.825,0
1002,0,"incongruent",1151.84583333333,1
1003,1,"congruent",994.715789473684,0
1003,1,"incongruent",1075.12315789474,1
1004,0,"congruent",774.645833333333,0
1004,0,"incongruent",788.322916666667,1
1101,1,"congruent",899.347916666667,0
1101,1,"incongruent",982.797916666667,1
1102,0,"congruent",894.972916666667,0
1102,0,"incongruent",1102.08854166667,1
1104,0,"congruent",808.473958333333,0
1104,0,"incongruent",1079.003125,1
1301,1,"congruent",851.467708333333,0
1301,1,"incongruent",961.941666666667,1
1303,1,"congruent",677.197916666667,0
1303,1,"incongruent",825.84375,1
1402,0,"congruent",909.945833333333,0
1402,0,"incongruent",1331.15625,1
1404,0,"congruent",691.816666666667,0
1404,0,"incongruent",750.708333333333,1
1405,1,"congruent",631.971875,0
1405,1,"incongruent",652.704166666667,1
1501,1,"congruent",975.941666666667,0
1501,1,"incongruent",1182.74375,1
1502,0,"congruent",850.40625,0
1502,0,"incongruent",959.254166666667,1
1503,1,"congruent",869.923958333333,0
1503,1,"incongruent",1173.6625,1
1504,0,"congruent",1057.88229166667,0
1504,0,"incongruent",1347.46354166667,1
1703,1,"congruent",785.777083333333,0
1703,1,"incongruent",989.492708333333,1
1704,0,"congruent",949.344791666667,0
1704,0,"incongruent",1246.453125,1
1902,0,"congruent",652.708333333333,0
1902,0,"incongruent",788.541666666667,1
1903,1,"congruent",702.413541666667,0
1903,1,"incongruent",779.257291666667,1
